episode_id,t,s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
0,0,0.41243044215589353,-1.30881869330488,1.317220668826969,-0.9284430233002674,-1.18295830156975,2,-0.6525486409664154,0.21732230723282406,-1.3015056893895773,1.3533278997217677,-0.9963829327301348,-1.290695866667876,0
0,1,0.21732230723282406,-1.3015056893895773,1.3533278997217677,-0.9963829327301348,-1.290695866667876,0,-0.19092875719070435,0.039247551282425575,-1.3001944898500442,1.3894351306165662,-0.8944730685853337,-1.34526837763146,0
0,2,0.039247551282425575,-1.3001944898500442,1.3894351306165662,-0.8944730685853337,-1.34526837763146,0,-0.18086241334676742,-0.1394287546560167,-1.2866969745324692,1.425542361511365,-0.9963829327301348,-1.4588673048701282,0
0,3,-0.1394287546560167,-1.2866969745324692,1.425542361511365,-0.9963829327301348,-1.4588673048701282,2,-0.6794763654470444,-0.2502345693669156,-1.2956025252179242,1.4616495924061634,-0.8605031138703999,-1.1995318480041237,0
0,4,-0.2502345693669156,-1.2956025252179242,1.4616495924061634,-0.8605031138703999,-1.1995318480041237,0,-0.5258963108062744,-0.38080928092978805,-1.2844306787347477,1.497756823300962,-0.9624129780152011,-1.5732023090427925,0
0,5,-0.38080928092978805,-1.2844306787347477,1.497756823300962,-0.9624129780152011,-1.5732023090427925,1,-0.7965569496154785,-0.4970827553534416,-1.2742459089863338,1.5338640541957607,-0.9624129780152011,-1.3824616930576294,0
0,6,-0.4970827553534416,-1.2742459089863338,1.5338640541957607,-0.9624129780152011,-1.3824616930576294,2,-1.5855872631072998,-0.5500038086383219,-1.268947944972631,1.5699712850905592,-1.0982927968749359,-1.2006547868240904,0
0,7,-0.5500038086383219,-1.268947944972631,1.5699712850905592,-1.0982927968749359,-1.2006547868240904,1,-1.394921064376831,-0.6796353757556544,-1.28554851108892,1.606078515985358,-1.0982927968749359,-1.2618929886835228,0
0,8,-0.6796353757556544,-1.28554851108892,1.606078515985358,-1.0982927968749359,-1.2618929886835228,1,-1.7394181489944458,-0.7859341692551151,-1.2833303884141394,1.6421857468801564,-1.200202661019737,-1.324549785690058,0
0,9,-0.7859341692551151,-1.2833303884141394,1.6421857468801564,-1.200202661019737,-1.324549785690058,0,-2.0821218490600586,-0.8435629650229556,-1.269926520568051,1.6782929777749551,-1.0643228421600022,-1.0263439686456797,0
0,10,-0.8435629650229556,-1.269926520568051,1.6782929777749551,-1.0643228421600022,-1.0263439686456797,1,-2.319429397583008,-0.9631799524923977,-1.2506310932802056,1.7144002086697536,-1.0643228421600022,-1.2399018185123365,0
