s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
14.927429,11.345526,8.0,10.0,0.2259308,0,-12.430862426757812,14.814044,11.345526,8.25,12.0,0.08950651,0
14.814044,11.345526,8.25,12.0,0.08950651,0,-12.547930717468262,14.758298,11.345526,8.5,10.0,0.14526172,0
14.758298,11.345526,8.5,10.0,0.14526172,0,-12.675161361694336,14.6954975,11.345526,8.75,6.0,0.16156843,0
14.6954975,11.345526,8.75,6.0,0.16156843,0,-12.629646301269531,14.717364,11.345526,9.0,6.0,0.14375277,0
14.717364,11.345526,9.0,6.0,0.14375277,0,-12.693681716918944,14.685982,11.345526,9.25,1.0,0.1564557,0
14.685982,11.345526,9.25,1.0,0.1564557,0,-12.75782871246338,14.654695,11.345526,9.5,1.0,0.17218088,0
14.654695,11.345526,9.5,1.0,0.17218088,0,-12.79114055633545,14.643042,11.345526,9.75,2.0,0.27224243,0
14.643042,11.345526,9.75,2.0,0.27224243,0,-12.848716735839844,14.612905,11.345526,10.0,4.0,0.24525428,0
14.612905,11.345526,10.0,4.0,0.24525428,0,-12.74269199371338,14.670217,11.345526,10.25,2.0,0.33124876,0
14.670217,11.345526,10.25,2.0,0.33124876,0,-12.794952392578123,14.644271,11.345526,10.5,0.0,0.33494073,0
14.644271,11.345526,10.5,0.0,0.33494073,0,-12.756449699401855,14.666015,11.345526,10.75,4.0,0.38479066,0
14.666015,11.345526,10.75,4.0,0.38479066,0,-12.807029724121094,14.639809,11.345526,11.0,0.0,0.3664692,0
14.639809,11.345526,11.0,0.0,0.3664692,0,-12.79849910736084,14.642468,11.345526,11.25,0.0,0.33435553,0
14.642468,11.345526,11.25,0.0,0.33435553,0,-12.792092323303224,14.648157,11.345526,11.5,4.0,0.38406152,0
14.648157,11.345526,11.5,4.0,0.38406152,0,-12.807756423950195,14.641351,11.345526,11.75,1.0,0.40457663,0
14.641351,11.345526,11.75,1.0,0.40457663,0,-12.853421211242676,14.618769,11.345526,12.0,0.0,0.40958738,0
14.618769,11.345526,12.0,0.0,0.40958738,0,-12.93914031982422,14.577101,11.345526,12.25,0.0,0.4334138,0
14.577101,11.345526,12.25,0.0,0.4334138,0,-13.045832633972168,14.522859,11.345526,12.5,0.0,0.4154992,0
14.522859,11.345526,12.5,0.0,0.4154992,0,-13.074793815612791,14.509531,11.345526,12.75,3.0,0.4385573,0
14.509531,11.345526,12.75,3.0,0.4385573,0,-13.076115608215332,14.504042,11.345526,13.0,7.0,0.3419919,0
14.504042,11.345526,13.0,7.0,0.3419919,0,-13.112069129943848,14.485786,11.345526,13.25,2.0,0.33642453,0
14.485786,11.345526,13.25,2.0,0.33642453,0,-13.030987739562988,14.528339,11.345526,13.5,0.0,0.37666574,0
14.528339,11.345526,13.5,0.0,0.37666574,0,-13.019794464111328,14.530215,11.345526,13.75,3.0,0.30224532,0
14.530215,11.345526,13.75,3.0,0.30224532,0,-13.02189826965332,14.530725,11.345526,14.0,5.0,0.33347085,0
14.530725,11.345526,14.0,5.0,0.33347085,0,-13.109126091003418,14.486158,11.345526,14.25,7.0,0.31442955,0
14.486158,11.345526,14.25,7.0,0.31442955,0,-13.028682708740234,14.529151,11.345526,14.5,9.0,0.3698505,0
14.529151,11.345526,14.5,9.0,0.3698505,0,-13.09957504272461,14.49323,11.345526,14.75,4.0,0.36034647,0
14.49323,11.345526,14.75,4.0,0.36034647,0,-12.905694007873535,14.588942,11.345526,15.0,1.0,0.33576876,0
14.588942,11.345526,15.0,1.0,0.33576876,0,-12.919904708862305,14.579959,11.345526,15.25,3.0,0.29822895,0
14.579959,11.345526,15.25,3.0,0.29822895,0,-13.111888885498049,14.481968,11.345526,15.5,0.0,0.25824875,0
14.481968,11.345526,15.5,0.0,0.25824875,0,-13.01594066619873,14.529125,11.345526,15.75,4.0,0.24191341,0
14.529125,11.345526,15.75,4.0,0.24191341,0,-12.885088920593262,14.595785,11.345526,16.0,9.0,0.2665903,0
14.595785,11.345526,16.0,9.0,0.2665903,0,-12.835347175598145,14.618387,11.345526,16.25,6.0,0.22121939,0
14.618387,11.345526,16.25,6.0,0.22121939,0,-12.850913047790527,14.61098,11.345526,16.5,1.0,0.22873023,0
14.61098,11.345526,16.5,1.0,0.22873023,0,-12.89566421508789,14.589764,11.345526,16.75,0.0,0.2519192,0
14.589764,11.345526,16.75,0.0,0.2519192,0,-13.08125114440918,14.494628,11.345526,17.0,0.0,0.20506588,0
14.494628,11.345526,17.0,0.0,0.20506588,0,-13.181302070617676,14.446705,11.345526,17.25,0.0,0.2471205,0
14.446705,11.345526,17.25,0.0,0.2471205,0,-13.034363746643066,14.52448,11.345526,17.5,0.0,0.33323526,0
14.52448,11.345526,17.5,0.0,0.33323526,0,-12.959952354431152,14.555844,11.345526,17.75,0.0,0.21640782,0
14.555844,11.345526,17.75,0.0,0.21640782,0,-12.88111686706543,14.601834,11.345526,18.0,0.0,0.34785515,0
14.601834,11.345526,18.0,0.0,0.34785515,0,-12.86495304107666,14.611663,11.345526,18.25,0.0,0.38278994,0
14.611663,11.345526,18.25,0.0,0.38278994,0,-12.819380760192873,14.634787,11.345526,18.5,0.0,0.38953575,0
14.634787,11.345526,18.5,0.0,0.38953575,0,-12.878829956054688,14.601632,11.345526,18.75,1.0,0.32094628,0
14.601632,11.345526,18.75,1.0,0.32094628,0,-13.099489212036133,14.494705,11.345526,19.0,0.0,0.3889932,0
14.494705,11.345526,19.0,0.0,0.3889932,0,-13.167987823486328,14.464342,11.345526,19.25,0.0,0.4667229,0
14.464342,11.345526,19.25,0.0,0.4667229,0,-13.055075645446776,14.519415,11.345526,19.5,0.0,0.43905327,0
14.519415,11.345526,19.5,0.0,0.43905327,0,-13.039467811584473,14.5269575,11.345526,19.75,0.0,0.4338246,0
14.5269575,11.345526,19.75,0.0,0.4338246,0,-12.953171730041504,14.570186,11.345526,20.0,5.0,0.4354259,0
14.570186,11.345526,20.0,5.0,0.4354259,0,-13.25676727294922,14.416384,11.345526,20.25,0.0,0.39534664,0
14.416384,11.345526,20.25,0.0,0.39534664,0,-13.131525039672852,14.479503,11.345526,20.5,0.0,0.40530092,0
14.479503,11.345526,20.5,0.0,0.40530092,0,-13.1315279006958,14.479867,11.345526,20.75,0.0,0.4126225,0
14.479867,11.345526,20.75,0.0,0.4126225,0,-13.374191284179688,14.35939,11.345526,21.0,5.0,0.4297141,1
22.823526,20.770931,6.0,6.0,0.27918312,0,-0.078387650847435,22.878263,20.770931,6.25,6.0,0.2838765,0
22.878263,20.770931,6.25,6.0,0.2838765,0,-0.0827937304973602,22.999245,20.770931,6.5,6.0,0.3279373,0
22.999245,20.770931,6.5,6.0,0.3279373,0,-0.0872677475214004,23.003942,20.770931,6.75,2.0,0.37267748,0
23.003942,20.770931,6.75,2.0,0.37267748,2,-0.8809530436992645,22.780487,20.770931,7.0,0.0,0.38095304,0
