episode_id,t,s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
0,41,17.502716,11.549821,7.25,21.0,0.39873046,0,-3.7426393032073975,17.533134,11.53424,7.5,16.0,0.41924557,0
0,42,17.533134,11.53424,7.5,16.0,0.41924557,1,-3.848567008972168,17.238201,11.581893,7.75,13.0,0.36768067,0
0,43,17.238201,11.581893,7.75,13.0,0.36768067,2,-4.305626392364502,17.54414,11.572973,8.0,18.0,0.34976608,0
0,44,17.54414,11.572973,8.0,18.0,0.34976608,0,-3.743114709854126,17.512629,11.379843,8.25,14.0,0.35247725,0
0,45,17.512629,11.379843,8.25,14.0,0.35247725,2,-4.019556522369385,17.794144,11.368708,8.5,12.0,0.3137003,0
0,46,17.794144,11.368708,8.5,12.0,0.3137003,0,-3.489684581756592,17.75773,11.419284,8.75,15.0,0.3247168,0
0,47,17.75773,11.419284,8.75,15.0,0.3247168,2,-3.899001121520996,17.93546,11.481735,9.0,14.0,0.33446017,0
0,48,17.93546,11.481735,9.0,14.0,0.33446017,0,-3.4389309883117676,17.805695,11.581786,9.25,16.0,0.31541887,0
0,49,17.805695,11.581786,9.25,16.0,0.31541887,2,-3.6754422187805176,18.113237,11.728079,9.5,18.0,0.28867972,0
0,50,18.113237,11.728079,9.5,18.0,0.28867972,1,-3.2919349670410156,17.784475,11.734454,9.75,20.0,0.264102,0
0,51,17.784475,11.734454,9.75,20.0,0.264102,1,-3.5800223350524902,17.492634,11.561916,10.0,17.0,0.2265622,0
0,52,17.492634,11.561916,10.0,17.0,0.2265622,2,-3.953126907348633,17.757002,11.529245,10.25,21.0,0.21012887,0
0,53,17.757002,11.529245,10.25,21.0,0.21012887,1,-3.5520267486572266,17.521454,11.599476,10.5,20.0,0.23480576,0
0,54,17.521454,11.599476,10.5,20.0,0.23480576,2,-3.875788688659668,17.865253,11.614497,10.75,22.0,0.24104208,0
0,55,17.865253,11.614497,10.75,22.0,0.24104208,1,-3.5238678455352783,17.544771,11.660875,11.0,17.0,0.18639049,0
0,56,17.544771,11.660875,11.0,17.0,0.18639049,2,-3.8836441040039062,17.76228,11.619662,11.25,14.0,0.14592358,0
0,57,17.76228,11.619662,11.25,14.0,0.14592358,2,-3.6630265712738037,18.065731,11.791892,11.5,12.0,0.2287576,0
0,58,18.065731,11.791892,11.5,12.0,0.2287576,2,-3.2874653339385986,18.324465,11.904904,11.75,12.0,0.11193016,0
0,59,18.324465,11.904904,11.75,12.0,0.11193016,1,-2.9285240173339844,18.134933,11.9283085,12.0,10.0,0.13457398,0
0,60,18.134933,11.9283085,12.0,10.0,0.13457398,1,-3.204594850540161,17.859537,11.890927,12.25,14.0,0.1413198,0
0,61,17.859537,11.890927,12.25,14.0,0.1413198,1,-3.4780800342559814,17.579193,11.702684,12.5,13.0,0.07273033,0
0,62,17.579193,11.702684,12.5,13.0,0.07273033,0,-3.583103656768799,17.599455,11.858144,12.75,13.0,0.10852811,0
0,63,17.599455,11.858144,12.75,13.0,0.10852811,0,-3.555826425552368,17.618431,11.890619,13.0,18.0,0.08085847,0
0,64,17.618431,11.890619,13.0,18.0,0.08085847,0,-3.672133207321167,17.517815,11.893822,13.25,13.0,0.13315931,0
0,65,17.517815,11.893822,13.25,13.0,0.13315931,0,-3.8130240440368652,17.343155,11.8136635,13.5,13.0,0.02059614,0
