method,avg_total_reward,std_total_reward,avg_energy_cost,std_energy_cost,comfort_violation_rate,episodes
PPO,-190.2638,113.1545,58.7044,24.2219,0.7125,10
Baseline,-150.0632,90.5037,76.0,38.1241,0.675,10
